times_onestep,times_twostep,feature_sizes_onestep,feature_sizes_twostep,rsum_onestep,rsum_twostep,coverage_onestep,coverage_twostep
0.019153000001097098,0.022862599998916266,3,3,1.9835760329323573,1.9043319884500969,4,24
0.01726269999926444,0.02531299999827752,3,3,1.9625447427248721,1.919888358793247,20,24
0.016984199999569682,0.022755699999834178,3,3,1.9908081979455663,1.9563897526496217,2,4
0.017549000000144588,0.02319109999734792,3,3,1.920482162309901,1.877866655928878,28,31
0.018187899997428758,0.02311340000233031,3,3,1.8473068548414973,1.7250096814719045,6,29
0.01662389999910374,0.024861199999577366,3,3,1.955312577711663,1.915152881597096,23,24
0.017223200000444194,0.0233622000014293,3,3,1.9842412377644987,1.9082826338344043,2,29
0.04769049999958952,0.02261519999956363,3,3,2.8301646041566775,2.7673434045089156,54,61
0.015215200000966433,0.021319300001778174,2,2,2.87445736732137,2.872979266837218,46,45
0.014599599999201018,0.01850610000110464,2,2,2.8835755366484426,2.880387779415465,27,34
0.01514330000281916,0.018711000000621425,2,2,2.87445736732137,2.8739683362140096,46,45
0.016383700000005774,0.01980080000066664,2,2,2.8926937059755153,2.8874666022014477,11,19
0.014869700000417652,0.020636500001273816,2,2,2.885855078980211,2.880096923910312,23,34
0.015390400003525428,0.018927099998109043,2,2,2.8767369096531383,2.875490774566307,37,37
0.014834000001428649,0.019209899997804314,2,2,2.87445736732137,2.873308956629482,46,45
0.016526999999769032,0.02456719999827328,3,3,2.829499399324536,2.7849028895806867,60,61
0.014869200000248384,0.018730900002992712,2,2,2.8721778249896017,2.871786518277184,49,45
0.01499560000229394,0.01857419999942067,2,2,2.8926937059755153,2.884829083863337,11,23
0.01726749999943422,0.018860700001823716,2,2,2.8835755366484426,2.880058089623201,27,34
0.014716500001668464,0.020811499998671934,2,2,2.8904141636437473,2.8833066455110394,14,27
0.014762699996936135,0.018766999997751554,2,2,2.8972527906390515,2.8905114789060433,3,11
0.01442490000044927,0.018447600003128173,2,2,2.882062146892655,2.882062146892655,50,50
0.01611899999988964,0.018653000002814224,2,2,2.8972527906390515,2.8898520993215158,3,14
0.014739800000825198,0.020854800000961404,2,2,2.8949732483072834,2.8888241956576133,5,14
0.014738300000317395,0.01884010000139824,2,2,2.8721778249896017,2.871621673381052,49,45
0.018846800001483643,0.022489700000733137,3,3,2.7729724888831466,2.7248061801415844,65,61
0.01692920000277809,0.06312550000075134,3,3,2.7230125386228257,2.695608485152836,63,57
0.015009999999165302,0.019045500001084292,2,2,2.8812959943166745,2.8788653410631673,34,35
